EMPOWER VOCABULARY TRAINER - CONTENT ISSUE TRACKER,,,,,,,,,,,,,
Log every content issue you find. One row per issue. Be specific.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Reviewer Name,Date,Level,Unit,Word / Phrase,Issue Type,Game Affected,Current Content,Issue Description,,Suggested Fix,Priority,Status,
Abdulrauf,2026-02-20,B1,7,get an offer,GAM,Match,,No definition matches the word,,"Add definition: “to receive an offer, usually for a job or opportunity”",Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,"walking, not using a vehicle",GAM,Match,,Extra definition with no matching word,,Remove or include the missing word (“on foot”),Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,suffer from,DEF,Match," Definition shown as ""to have serious health problems with your heart""","Definition is too specific and does not define the general verb phrase ""suffer from""; prevents an unambiguous match.",,"""to have an illness or problem; to experience something unpleasant""",Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,lack of,DEF,Match,“not having enough vitamin D in your body”,Definition is overly specific (only about vitamin D),,“not having enough of something”,Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,setting goal,PHR,Match,setting goal,Phrase is unnatural / incorrect in English,,“setting a goal” or “setting goals”,Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,setting goal,PHR,Multiple Choice,setting goal,Phrase form is inconsistent/unnatural,,"
Standardize the headword to one of:
  • ""setting goals""  (preferred, as used in the MCQ), OR
  • ""setting a goal"" (if singular is required)",Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,eat a healthy,GAM,Spelling,eat a healthy,“Scrambled letters only show ‘eat a healthy’ but the correct phrase is ‘eat a healthy diet.,,"Provide full letters for “eat a healthy diet”,
OR change the expected answer to a single word",Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,fitness programme,GAM,Spelling,fitness programme,Alternative spelling not accepted,,Accept both spellings in validation,Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,all right,GAM,Spelling,all right,Game only accepts 'all right' and rejects 'alright,,Spelling game should accept both widely used variants,Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,With the flu,GAM,Fill in Blank,I was in bed for a week with ____.',I was in bed for a week with ____.' Options include 'a serious stomach ache' is too plausible with the sentence alone,,"Make the sentence carry the key symptoms


“I was in bed for a week with ___ — I had a fever and a bad cough.”
(Then “the flu” becomes the only natural fit.)",Medium,Fixed,
Abdulrauf,2026-02-20,B1,7,serious vs silly,COL,Fill in Blank,That was a ____ mistake,"Distractor 'serious' is an antonym of the definition and forms a strong natural collocation ('serious mistake'), making distractor too strong and causing ambiguity",,Replace serious with a distractor that is not a strong collocation with mistake,Medium,check it out agian please ,
Abdulrauf,2026-02-20,B1,7,careless vs brave,COL,Fill in Blank,The firefighters were very ____  .,Some learners conflate “brave” with “careless”.,,"clarify sentence
“The firefighters were very ______ when they carefully entered the burning building.”",Medium,Fixed,
Abdulrauf,2026-02-21,B1,7,keys.,GAM,Word Order,I always lose my keys.,Punctuation is incorrectly included inside the word tile (“keys.”).Word Order games should not embed punctuation inside tokens because it helps students figure out the answer,,Remove the period from the word tile,Medium,Fixed,
Abdulrauf,2026-02-21,B1,7,(“After the holidays I usually go on a diet.”),GAM,Word Order,"Tile “diet.” includes a full stop; tile “After” is capitalized, giving away sentence start.","Punctuation is incorrectly embedded in the tile (“diet.”), and capitalization on “After” provides an unintended clue. Both violate Word Order mechanics and reduce challenge validity.",,Remove the full stop from “diet.” change “After” to “after”,Medium,Fixed,
bihter,2026-02-21,B1,1,If you like,DEF,Match,used to make a polite suggestion,isnt clear enough.,,"If you want, if you prefer.",Medium,Fixed,
Bihter,2026-02-21,,1,worry ,DEF,Match,to feel worried and think something bad may happen,The target word itself or the same root should not appear in the definition.,,to feel nervous and think about possible problems,Medium,Fixed,
Bihter,2026-02-21,B1,1,woryy,EX,Multiple Choice,to feel worried and think something bad may happen,the target word itself or the same root should not appear in the definition.,,feel nervous and think about possible problems,Medium,Fixed,
Bihter,2026-02-21,B1,1,rarely ,EX,Multiple Choice,We rarely eat in restaurants.,"not in context. the options, too.",,"We rarely eat in restaurants because we prefer cooking at home.A) almost never
B) from time to time
C) on a regular basis
D) more than usual",Medium,Fixed,
Bihter,2026-02-21,B1,1,goal,DEF,Multiple Choice,"on almost every occasion1
things that you want to do or get in the future2
someone whose job is writing news stories for newspapers or TV3
used to give a reason for something4
",weak distractor quality in the options.,,"A) a problem you need to solve
B) something you want to do or get in the future
C) a task you do every day
D) something that happens by chance",Medium,Fixed,
Bihter,2026-02-21,B1,1,lazy,DEF,Multiple Choice,"He is very lazy at the weekend.

feeling shy or ashamed1
not liking to work or do things2
able to learn and understand things quickly3
very clever or impressive",No Context in the sentence and the weak distractor quality in the options.,,"He is very lazy at the weekend; he stays in bed until noon and doesn’t do any homework. A) feeling shy around other people
B) not wanting to work or make effort
C) able to understand things quickly
D) very talented and impressive",Medium,Fixed,
Bihter,2026-02-21,B1,1,yin,EX,Multiple Choice,"In yin and yang, yin is the dark, quiet side.
noun (probably “yin”)
an arrangement you have with a bank for your money1
at no time; not ever2
the Chinese idea of one part of yin and yang, two opposite forces3
to arrive at a place or destination",the word (yin) must be bold. and the options are problematic.,,"A) a type of bank account
B) a method of travelling to a place
C) a period of complete silence
D) one of two opposite forces in Chinese philosophy",Medium,Fixed,
Bihter,2026-02-21,B1,2,change,DEF,Match,"change →
 to change from one train to another",The target word itself is used in the definition (“change”).,,"change →
to get off one train and get on another",Medium,Fixed,
Bihter,2026-02-21,B1,2,miss the bus,DEF,Match,probably “miss a train / bus”) to arrive too late for a train or bus,Unncessary words ,,The explanation in brackets should be removed. to arrive too late for a train or bus,Medium,Fixed,
Bihter,2026-02-21,B1,2,foreign currency,DEF,Match,foreign money from another country,the target word itself or the same root should not appear in the definition.,,money from another country,Medium,Fixed,
Bihter,2026-02-21,,2,stay in a campsite,DEF,Match,to sleep on a campsite in a tent or caravan,"Definition repeats campsite.
→ This makes matching too easy.",,to sleep in a tent or caravan in an outdoor area,Medium,Fixed,
Bihter,2026-02-21,,2,break down,SPL,Match,brake down - (“break down”) in the definition gives away the answer.,spelling problem- (“break down”) when a car or machine stops working suddenly,,,Medium,Fixed,
Bihter,2026-02-21,,2,accomodation,DEF,Multiple Choice,We found cheap accommodation near the city centre.,the target word is not bold.,,,Medium,Fixed,
Bihter,2026-02-21,,,regular,EX,Multiple Choice,He is a regular customer here.,No Context in the sentence and the weak distractor quality in the options.,,"He comes to this café every weekend. He is a regular customer here.A) someone who comes very often
B) someone who works in the shop
C) someone who spends a lot of money
D) someone who complains frequently",Medium,Fixed,
Bihter,2026-02-21,,,swim a long way,EX,Multiple Choice,,No Context in the sentence and the weak distractor quality in the options.,,"She trained for months before the competition. Now she can swim a long way in the sea. A) to travel to another country by plane
B) to practise a sport every day
C) to stay under water without breathing
D) to move through water for a long distance",Medium,Fixed,
B,2026-02-21,,,success.,EX,Multiple Choice,success,the word is not bold.,,,Medium,Fixed,
B,2026-02-21,,,advantage,EX,Multiple Choice,"One advantage of my job is the salary.
nouns
to have a particular name1
advantage = good thing; disadvantage = bad thing2
at all times3
a place on the internet with pages of information",No Context in the sentence and the weak distractor quality in the options.,,"One advantage of my job is the salary, but the working hours are very long.A) a responsibility you must accept
B) a positive point about something
C) a difficult part of a situation
D) a rule you have to follow",Medium,Fixed,
B,2026-02-21,B1,2,idea,EX,Multiple Choice,"That's a great idea.
noun
a thought, plan, or suggestion1
one of two equal parts of something2
a person who wears clothes or uses products in photos, shows, or adverts3
a room where you sleep4
",No Context in the sentence and the weak distractor quality in the options.,,"That's a great idea. Let's try it. A) a thought or plan about what to do
B) a decision made by a manager
C) a problem that needs solving
D) a reason for doing something",Medium,Fixed,
B,2026-02-21,B1,2,outdoor,EX,Multiple Choice,outdoor = outside; indoor = inside,"Direct synonym explanation, Weak distractors",,"There are many outdoor and indoor activities at the summer camp. A) done outside or inside a building
B) expensive or cheap
C) safe or dangerous
D) noisy or quiet",Medium,Fixed,
B,2026-02-21,B1,2,local,EX,Multiple Choice,"We like the local café.
adjective
quiet and not excited or angry1
from or about a place near you2
easy to understand or do3
coming before the one you are talking about",No Context in the sentence and the weak distractor quality in the options.,,"We like the local café because it is only five minutes from our house.A) quiet and calm
B) near the place where you live
C) simple and easy to understand
D) happening before something else",Medium,Fixed,
B,2026-02-21,B1,2,full,EX,Multiple Choice,"The bus is full this morning.
adjective
having a natural ability or skill1
very good or surprising2
with no empty space or no more room3
very bad or unpleasant",No Context in the sentence and the weak distractor quality in the options.,,"The bus is full this morning, so we have to stand.A) having a natural ability or talent
B) very good or impressive
C) with no empty seats or space
D) very bad or unpleasant",Medium,Fixed,
B,2026-02-21,B1,2,important,EX,Multiple Choice,"It is important to sleep well.
adjective
having a natural ability or skill1
very necessary or important2
with no empty space or no more room3
giving a lot of light; or very strong in colour4
",No Context in the sentence and the weak distractor quality in the options.,,"It is important to sleep well if you want to stay healthy.A) having a natural ability or skill
B) necessary or needed
C) with no empty space
D) giving a lot of light",Medium,Fixed,
B,2026-02-21,B1,2,possession,EX,Multiple Choice,"That car is my father's possession.
noun
tools or machines you need for a job or sport1
information about important recent events2
a road, direction, or method of doing something3
something that belongs to you",no Context in the sentence and the weak distractor quality in the options.,,"That car is my father's possession. It is his, not anyone else's.    A) something a person owns
B) something used for work
C) information about recent events
D) a way of doing something",Medium,Fixed,
B,2026-02-21,B1,2,proud,EX,Multiple Choice,"I am proud of my students.
adjective
happy because you or someone did something good1
a bit angry about something2
having a good flavour3
able to make new and interesting things",no Context in the sentence and the weak distractor quality in the options.,,"I am proud of my students because they worked very hard and passed the exam.
A) happy because someone has done something good
B) slightly angry about something
C) having a pleasant taste
D) able to create new ideas",Medium,Fixed,
B,2026-02-21,B1,,Get your coat.,DEF,Multiple Choice,"Get your coat, it's cold outside.
verb phrase
to say what is real and not a lie1
to connect to the internet2
to not go out; to remain at home3
to take your coat from somewhere4
",The options are not challenging enough.,,"A) to go and take your coat so you can wear it
B) to stay inside because of the weather
C) to tell someone the truth
D) to check the weather online",Medium,Fixed,
B,2026-02-21,B1,,modern,EX,Multiple Choice,This is a modern building.,,,This is a modern building with a glass front and smart technology inside.,Medium,Fixed,
B,2026-02-21,B1,,waitress,EX,Multiple Choice,The waitress took our order.,,,The waitress took our order and brought the food to our table.,Medium,Fixed,
B,2026-02-21,B1,,damage,EX,Multiple Choice,The storm did a lot of damage to the house. ,The options are not challenging enough.,,"The storm did a lot of damage to the house. The roof and windows were broken.

A) something that needs to be fixed
B) physical harm to something
C) a natural event with strong wind
D) a repair made to a building",Medium,Fixed,
B,2026-02-21,B1,,imagine,EX,Multiple Choice,"Imagine your life in ten years.
verb
to form a picture or idea in your mind1
to want something good to happen2
to try to hurt someone or something3
to have enough money to buy something",The options are not challenging enough.,,"Close your eyes and imagine your life in ten years.

A) to form a picture in your mind
B) to hope something good will happen
C) to try to harm someone
D) to have enough money for something",Medium,Fixed,
B,2026-02-21,B1,,headache,EX,Multiple Choice,"I have a headache.

a place where people go to ski and stay on holiday1
a solid yellow fat used in cooking2
a pain in your head3
physical or mental damage",The options are not challenging enough.,,"I have a headache, so I can’t concentrate on my homework.

A) a pain in your head
B) a problem you need to solve
C) a feeling of being very tired
D) an illness that causes a high temperature",Medium,Fixed,
B,2026-02-21,B1,,dress,EX,Multiple Choice,"She bought a new dress.

a piece of women's clothing that covers the body and legs1
the first day of the working week2
the business of holidays and travel for visitors3
a musical instrument with strings",The options are not challenging enough.,,"She bought a new dress for the wedding next week.

A) a type of shoe worn at formal events
B) a piece of jewellery worn around the neck
C) a piece of clothing worn by women
D) a light jacket for cold weather",Medium,Fixed,
B,2026-02-21,B1,,give,EX,Multiple Choice,"I always give my seat to older people.

to give something to someone1
to move towards a place or person2
to have an emotion or physical state3
to enjoy someone or something4
",The options are not challenging enough.,,"I always give my seat to older people on the bus.

A) to offer something to another person
B) to move closer to someone
C) to feel a strong emotion
D) to like someone very much",Medium,Fixed,
B,2026-02-21,B1,,steak,EX,Multiple Choice,"He had a steak for lunch.

how someone looks; face, body, and style1
a piece of women's clothing that covers the body and legs2
a thick piece of meat, usually beef3
a room where you sleep",The options are not challenging enough.,,"He had a steak for lunch at the restaurant.

A) a sweet dessert made with chocolate
B) a thick piece of meat, usually beef
C) a type of vegetable served in salads
D) a hot drink made from coffee beans",Medium,Fixed,
B,2026-02-21,B1,,own,EX,Multiple Choice,"I have my own room.
adjective
unusual or difficult to understand1
belonging to one person2
making you want to know more3
from or about a place near you",The options are not challenging enough.,,"I don’t share with anyone. I have my own room.

A) unusual or difficult to understand
B) belonging to one person only
C) making you want to know more
D) related to a nearby place",Medium,Fixed,
B,2026-02-21,B1,1,pay,EX,Multiple Choice,"You must pay before you leave.

to draw a line under words1
to talk informally, often online or by message2
to give money for something3
to finish school or university successfully",The options are not challenging enough.,,"You must pay before you leave the restaurant.

A) to leave a place quickly
B) to give money for something you buy
C) to speak to someone in a friendly way
D) to complete your studies successfully",Medium,Fixed,
B,2026-02-21,B1,2,grill,DEF,Multiple Choice,"
cooked over a fire or very hot surface1
very good2
feeling calm and not worried3
kind and easy to like",The options are not challenging enough.,,"A) cooked in hot water
B) cooked over direct heat
C) mixed with a sauce
D) cut into very small pieces",Medium,Fixed,
B,2026-02-21,B1,2,december,DEF,Multiple Choice,"

a list of food and drinks in a café or restaurant1
something that you do, usually for enjoyment or learning2
strong worry or pressure in your body or mind3
the twelfth month of the year",The options are not challenging enough.,,"A) the first month of the year
B) the twelfth month of the year
C) a season with cold weather
D) a special national celebration",Medium,Fixed,
B,2026-02-21,B1,2,important,EX,Multiple Choice,"It is important to sleep well.                           with no empty space or no more room1
very good; excellent2
very necessary or important3
better in quality than something else4
",The options are not challenging enough.,,"It is important to sleep well if you want to stay healthy.

What does “important” mean in this sentence?

A) completely full
B) very necessary
C) better than others
D) extremely good",Medium,Fixed,
B,2026-02-21,B1,2,chicken,DEF,Multiple Choice,"I often eat chicken for dinner.

meat from a chicken1
a suggestion that something is good and other people should try it2
the son of your son or daughter3
a request for food, drink, or goods; or the arrangement of things",The options are not challenging enough.,,"I often eat chicken for dinner because it is healthy and full of protein.

A) a kind of seafood
B) a sweet dessert made with milk
C) meat from a bird kept on farms
D) a type of red meat",Medium,Fixed,
B,2026-02-21,B1,2,married,EX,Multiple Choice,"My sister is married.

",,,My sister is married and lives with her husband.,Medium,Fixed,
B,2026-02-21,B1,2,invitation,EX,Multiple Choice,"I sent an invitation to my friend.
noun
the third month of the year1
a request asking someone to come or join2
a period of time when you learn something3
a large, slow-moving river of ice",The options are not challenging enough.,,"I sent an invitation to my friend for my birthday party next week.

A) a written message about an event
B) a request asking someone to come to an event
C) a list of people at a party
D) a plan for decorating a room",Medium,Fixed,
B,2026-02-21,B1,2,cook,EX,Multiple Choice,"I cook dinner every evening.

to make something easier for someone1
to look at something for a period of time2
to move on foot3
to prepare food with heat",The options are not challenging enough.,,"I cook dinner every evening for my family.

A) to order food from a restaurant
B) to prepare food using heat
C) to serve food at a table
D) to cut food into small pieces",Medium,Fixed,
B,2026-02-21,B1,2,straight hair,EX,Multiple Choice,"She has long straight hair.

almost everyone1
the activity of playing chess2
a plan for what you will do on holiday3
hair that is not curly or wavy",The options are not challenging enough.,,"She has long straight hair, not curly hair like her sister.

A) hair that is very short
B) hair that is very dark
C) hair that is not curly or wavy
D) hair that is difficult to manage",Medium,Fixed,
B,2026-02-21,B1,2,forward,PHR,Multiple Choice,"I'm looking forward to the weekend.

not inside; in the open air1
in or to another country2
towards the front or future; used in “look forward to”3
used to say something is possible but not sure",the target phrase must be looking forward to ,,"I'm looking forward to the weekend because I want to relax.

A) feeling excited about something in the future
B) planning to work during the weekend
C) travelling somewhere soon
D) thinking about a problem",Medium,Fixed,
B,2026-02-21,B1,2,hostel,EX,Multiple Choice,"We stayed in a hostel to save money.

a place to live or stay, like a flat or hotel1
a sport played with a ball and a net on a court2
a written request for a job or course3
a cheap place where travellers can sleep, often sharing a room4
",The options are not challenging enough.,,"We stayed in a hostel to save money while travelling around Europe.

A) a small family-owned hotel
B) a cheap place where travellers can share rooms
C) a private house rented for holidays
D) a luxury hotel with many services",Medium,Fixed,
B,2026-02-21,B1,2,jumper,DEF,Multiple Choice,"I'm wearing a wool jumper.

a warm piece of clothing for the top of your body1
a person who controls part of a company or team2
a person who serves food and drinks in a café or restaurant3
plants people eat, like carrots and beans4
",The options are not challenging enough.,,"I'm wearing a wool jumper because it's very cold today.

A) a light jacket for rain
B) a pair of trousers
C) a warm piece of clothing for the upper body
D) a long coat worn in winter",Medium,Fixed,
B,2026-02-21,B1,2,bread ,EX,Multiple Choice,"I usually eat bread for breakfast.
noun
a plastic card you use to pay instead of cash1
something you say or write when someone asks you2
food made from flour and water, baked in an oven3
a TV/radio show or a computer application4
",The options are not challenging enough.,,"I usually eat bread for breakfast with butter and cheese.

A) a sweet dessert made with chocolate
B) a drink made from fruit
C) food made from flour and baked in an oven
D) a type of meat cooked in a pan",Medium,Fixed,
,2026-02-21,B1,2,creative,DEF,Multiple Choice,"She is very creative.
adjective
coming after the second in order1
able to make new and interesting things2
being a woman or girl3
following old customs or ways of doing things",The options are not challenging enough.,,"She is very creative and always comes up with new ideas for her projects.

A) able to produce new and original ideas
B) careful about small details
C) good at following instructions
D) quick at finishing tasks",Medium,Fixed,
B,2026-02-21,B1,2,pleasant,DEF,Multiple Choice,"We had a pleasant evening.
adjective
needing a lot of effort1
working well and producing a good result2
nice and making you feel happy3
speaking and acting in a nice, respectful way",The options are not challenging enough.,,"We had a pleasant evening with friends and enjoyed the music.

A) needing a lot of effort
B) enjoyable and making you feel happy
C) serious and formal
D) successful in achieving a goal",Medium,Fixed,
B,2026-02-21,B1,2,strange,DEF,Fill in Blank,"That is a strange question.
unusual1
friendly2
intense3
strange4
",The options are not challenging enough.,,"A) ordinary
B) intense
C) formal
D) strange",Medium,Fixed,
B,2026-02-21,B1,2,getting old,DEF,Fill in Blank,"
go from being a child to an adult1
get old2
live abroad3
feel well4
",the structural problem,,"
going  from being a child to an adult
getting old
living abroad
feeling well",Medium,In Progress,
B,2026-02-21,B1,2,suprised,DEF,Fill in Blank,"feeling surprised because something is not expected
I was surprised by the test result.",,,feeling amazed because something is not expected,Medium,Fixed,
Yeşim,2026-02-22,A2,2,use,DEF,Match,use : to use sth,not explaining the target verb,,use: to do something with an object or tool for a purpose,Medium,Fixed,
Yeşim,2026-02-22,A2,2,important,DEF,Match,important: very necessary or important,redundant info,,important: very necessar,Medium,Fixed,
Yeşim,2026-02-22,A2,2,small,DEF,Match,small: small in size,same adjective in definition,,"small:not big in size, amount, or number",Medium,Fixed,
Yeşim,2026-02-22,A2,2,alligator,DEF,Multiple Choice,alligator,alligator in the question is not highlighted and the answer is in the option,,spelling: alligators should be taken out from the answer,Medium,Fixed,
Yeşim,2026-02-22,A2,2,quite,DEF,Multiple Choice,quite a lot,the answer is in the option,,"take out ""quite a lot"" from the answer",Medium,Fixed,
Yeşim,2026-02-22,A2,2,hard work,DEF,Fill in Blank,Hard work is important for success.,answer is in the question itself,,hard work should be deleted in the question,Medium,Fixed,
Yeşim,2026-02-22,A2,2,extra,DEF,Fill in Blank,We have an extra class this week.,"there is ""an"" so it is easy to guess the answer",,add a/an ,Medium,Fixed,
Yeşim,2026-02-23,A2,3,sounds,DEF,Multiple Choice,That sounds interesting.,all options except the answer is in infinitive form,,to sound,Medium,Fixed,
Yeşim,2026-02-23,A2,3,newspaper,DEF,Multiple Choice,I read the newspaper in the morning.,the word is not  highlighted,,highlighting the word in the question,Medium,Fixed,
Yeşim,2026-02-23,A2,3,long,DEF,Multiple Choice,It was a long movie.,the answer is long in time,,lasting a lot of time; not short,Medium,Fixed,
Yeşim,2026-02-23,A2,3,February,DEF,Multiple Choice,February is h shortest month.,February is not highlighted in the question,,highlighting the word in the question,Medium,Fixed,
Yeşim,2026-02-23,A2,3,newspaper,SPL,Spelling,newspapper,misspelled,,newspaper,Medium,Fixed,
Yeşim,2026-02-23,A2,3,phone,DEF,Fill in Blank,"a telephone, especially a mobile phone",definition gives the answer,,phone: a device for calling and communicating with people.,Medium,Fixed,
Yeşim,2026-02-23,A2,3,look for,DEF,Fill in Blank,looking for or trying to see something,definition gives the answer,,look for: to try to find something or someone,Medium,Fixed,
Yeşim,2026-02-24,A2,4,outdoor,DEF,Match,outdoor=outside,definition gives the answer,,outside: not inside a building,Medium,Fixed,
Yeşim,2026-02-24,A2,4,boring,DEF,Listening,the film was boring,definition gives the answer,,"deleting ""making you feel bored""",Medium,Fixed,
Yeşim,2026-02-24,A2,4,an egg,DEF,Listening,I had an_________ for breakfast,"all other options start with a consonant, but the only correct (egg) starts with a vowel, so th answer is clear.",,a/an can be written to prevent that.,Low,Fixed,
Yeşim,2026-02-24,A2,4,after tat,DEF,Listening,"We had dinner, and _____ we watched a film.",the answer is after that and the definition is afer that time or event,,another definition is needed,Medium,Open,
Abdulrauf,2026-02-24,B1,8,diving,DEF,Multiple Choice,"""the sport of jumping into water or going deep under water""",The definition mixes two different meanings (diving vs. scuba diving). This creates ambiguity,,"""the sport of jumping into water from a platform or board""",Medium,Fixed,
Abdulrauf,2026-02-24,B1,8,ice skating,GAM,Multiple Choice,"Distractors 1,2,3,4",Distractors are easy and clearly wrong options,,replace distractors with domain-near alternatives,Medium,Open,
Abdulrauf,2026-02-24,B1,,paint,GAM,Fill in Blank,"""to put colour on something using paint""","The prompt includes the target word ""paint""",,replace or prompt with a neutral definition. eg omit the word 'paint' in the prompt,Medium,Fixed,
Abdulrauf,2026-02-24,B1,,Word order game,GAM,Word Order,Word order game ," The initial capital makes the first word obvious, reducing difficulty and conflicting with the Word Order rule on handling capitalization.",,Show all words in lowercase during the activity and also remove the full stop,High,Fixed,
